text,summary
"Ketua MPR Zulkifli Hasan menyesalkan kisruh yang terjadi antara pelaku sarana transportasi online dan tradisional . Zulkifli menyarankan adanya pertemuan bersama antara pemerintah , pelaku transportasi online dan transportasi tradisional demi meredam kisruh yang masih belum terselesaikan . Zulkifli menilai aturan yang dikeluarkan pemerintah seharusnya tidak hanya membahas tarif tapi juga mekanisme yang dapat menguntungkan semua pihak , baik pelaku transportasi online maupun tradisional . "" Tidak hanya tarif tapi apa saja harus diatur . Dipanggil keduanya untuk berbicara masing-masing , musyawarah , duduk bareng kemudian dibuat aturan yang saling menguntungkan . Kan bisa saling melengkapi , negara lain bisa masa kita enggak bisa , "" ucap Zulkifli di Gedung DPR , Senayan , Jakarta Pusat , Senin ( 27 / 3 ) . Baca juga : Setya Novanto : Jangan Sampai Kisruh Taksi dan Ojek Online Jadi Besar Ketua Umum PAN menambahkan bahwa hal ini harus diatur karena menyangkut mata pencaharian dari masyarakat itu sendiri . Menurut dia , titik temu masih bisa dicari . Sebab , transportasi online tradisional masih memiliki pasar sendiri dan transportasi tradisional juga memiliki pasarnya sendiri . "" Yang tradisional tentu akan ada pasar sendiri , yang online punya pasar sendiri . Nah itulah segera ditata kalau tidak tentu terjadi bentrokan - bentrokan . Itu namanya urusan perut , urusan rezeki tentu kalau tidak ditata dengan baik akan menimbulkan keresahan , "" lanjut Zulkifli . Zulkifli menilai bahwa tidak mungkin bila keduanya bertarung bebas . Diperlukan adanya aturan yang membahas hal tersebut . "" Itu mesti diatur kan kalau semua tarung bebas kan enggak mungkin . Kalau semua dibiarkan tarung bebas atau disebut pasar bebas itu tentu nanti yang tradisional akan teriak , akan menjerit , "" ujar Zulkifli . Baca juga : Sebelum 1 April Sudah Ada Ketetapan Tarif Taksi Online di Jakarta","Ketua MPR Zulkifli Hasan menyesalkan kisruh yang terjadi antara pelaku sarana transportasi online dan tradisional . Zulkifli menyarankan adanya pertemuan bersama antara pemerintah , pelaku transportasi online dan transportasi tradisional demi meredam kisruh yang masih belum terselesaikan . Zulkifli menilai aturan yang dikeluarkan pemerintah seharusnya tidak hanya membahas tarif tapi juga mekanisme yang dapat menguntungkan semua pihak , baik pelaku transportasi online maupun tradisional ."
"Suara.com - Cerita sekuel terbaru James Bond bocor . Menurut sumber yang terlibat dalam produksi film ini , agen rahasia 007 berhenti menjadi mata-mata Inggris demi menikah dengan perempuan yang dicintainya . "" Bond berhenti menjadi agen rahasia karena jatuh cinta dan menikah dengan perempuan yang dicintai , "" tutur seorang sumber yang dekat dengan produksi seperti dikutip laman PageSix.com . Dalam film tersebut , Bond diduga menikahi Madeleine Swann yang diperankan oleh Lea Seydoux . Lea diketahui bermain sebagai gadis Bond di sekuel Spectre pada 2015 silam . Jika benar , ini merupakan satu-satunya sekuel yang bercerita pernikahan James Bond sejak 1969 . Sebelumnya , di sekuel On Her Majesty , James Bond menikahi Tracy Draco yang diperankan Diana Rigg . Namun , di film itu Draco terbunuh . Plot sekuel film James Bond ke - 25 bocor tak lama setelah Daniel Craig mengumumkan bakal kembali memerankan tokoh agen 007 . [ PageSix.com ]","Cerita sekuel terbaru James Bond bocor . Menurut sumber yang terlibat dalam produksi film ini , agen rahasia 007 berhenti menjadi mata-mata Inggris demi menikah dengan perempuan yang dicintainya . Jika benar , ini merupakan satu-satunya sekuel yang bercerita pernikahan James Bond sejak 1969 . Sebelumnya , di sekuel On Her Majesty , James Bond menikahi Tracy Draco . Namun , di film itu Draco terbunuh ."
"Menteri Pertanian Andi Amran Sulaiman mengatakan bahwa saat ini pemerintah terus meningkatkan pendapatan negara melalui ekspor berbagai komoditi strategis ke luar negeri . Salah satu komoditi yang ia maksdud adalah daging ayam olahan . Hal tersebut disampaikannya saat melepas ekspor perdana produk daging ayam olahan milik PT . Charoen Pokphand Indonesia ke Papua New Guinea , di Kawasan Industri Modern Cikande Serang Provinsi Banten , Senin ( 13 / 3/ 2017 ) . "" Alhamdullillah saat ini produk ayam olahan kita sudah bisa menembus pasar Papua Nugini . Kiriman perdana akan kita lepas dengan total barang yang akan diekspor yaitu sebanyak 1.000 carton , dengan berat bersih 5.999,25 kg . Mudah - mudahan berikutnya segera dapat kita realisasikan ekspor produk-produk peternakan lainnya ke Jepang dan Vietnam yang saat ini sedang dalam proses , "" katanya . Baca_Juga Kata Amran , produksi ayam ras nasional di Indonesia saat ini mengalami surplus dengan konsumsi masyarakat terhadap daging ayam sekitar 10 kg / tahun . Berdasarkan data Statistik Peternakan Tahun 2016 , populasi ayam ras pedaging mencapai 1,59 miliar ekor , ayam ras petelur mencapai 162 juta ekor dan ayam bukan ras mencapai 299 juta ekor atau mengalami peningkatan sekitar 4,2 persen dari populasi pada Tahun 2015 . Produksi daging unggas menyumbang 83 persen dari penyediaan daging nasional , sedangkan produksi daging ayam ras menyumbang 66 persen dari penyediaan daging nasional . Dan berdasarkan informasi dari masyarakat perunggasan , industri perunggasan ayam di Indonesia dapat menyediakan produksi daging ayam ras berapapun jumlah yang diminta oleh pasar . Oleh karena itu , peningkatan populasi ayam ras ini harus diimbangi dengan seberapa besar kebutuhan atau permintaan untuk menghindari terjadinya penurunan harga akibat over supply daging ayam . "" Kita terus dorong pelaku usaha perunggasan untuk dapat berdaya saing dan meningkatkan ekspornya . Hal ini tentunya selain untuk meningkatkan GDP ( Gross Domestic Product ) Indonesia , juga sekaligus dapat menyelesaikan kendala yang dihadapi oleh masyarakat perunggasan di Indonesia saat ini yaitu harga ayam hidup dan daging ayam yang sangat berfluktuasi . Oleh karena itu , salah satu upaya untuk mengendalikan harga ini adalah dengan membuka pasar di luar neger , "" kata Amran . Karenanya , dia berharap para pelaku industri perunggasan dapat menjual produk daging ayamnya ke pasar di luar negeri , sehingga pasar dalam negeri dapat diisi oleh peternakan unggas rakyat . Namun , katanya beberapa negara belum dapat menerima daging ayam segar dingin dan beku karena Indonesia belum bebas penyakit AI ( Avian Influenza ) . Karenanya , untuk mendapatkan persetujuan dari negara calon pengimpor , maka ayam hidup harus berasal dari peternakan ayam yang telah mendapatkan sertifikat kompartemen bebas penyakit AI dari Kementerian Pertanian melalui Direktorat Kesehatan Hewan Ditjen Peternakan dan Kesehatan Hewan . "" Selain itu juga harus mendapatkan dukungan jaminan kemanan pangan berupa Sertifikat Veteriner dari Direktorat Jenderal Peternakan dan Kesehatan Hewan , Kementan , "" tambahnya . Dan kata dia , unit usaha milik PT . CPI yang berada di Cikande Serang saat ini telah memperoleh Sertifikasi NKV ( Nomor Kontrol Veteriner ) sebagai bentuk penjaminan pemerintah terhadap keamanan produk hewan , yang menjadi suatu keharusan bagi setiap unit usaha yang akan mengekspor produk hewan . "" Sertifikasi NKV merupakan upaya pemerintah dalam memberikan jaminan persyaratan kelayakan dasar dalam sistem jaminan , "" katanya .","Saat ini pemerintah terus meningkatkan pendapatan negara melalui ekspor . Salah satu komoditinya yaitu   daging ayam olahan . Hal tersebut disampaikan Menteri Pertanian Andi Amran Sulaiman saat melepas ekspor perdana produk daging ayam olahan milik PT . Charoen Pokphand Indonesia ke Papua Nugini , di Kawasan Industri Modern Cikande , Senin ( 13 / 3 ) lalu . Produksi ayam ras nasional di Indonesia mengalami surplus dengan konsumsi masyarakat sekitar 10 kg / tahun ."
"SPANYOL – Barcelona berhasil memboyong kemenangan besar di laga Clasico 2017 dengan skor 3 - 0 atas Real Madrid , Sabtu ( 23 / 12 / 2017 ) . Gol yang diciptakan di laga yang digelar di kandang Madrid , Santiago Bernabeu ,    diciptakan Luis Suarez , Lionel Messi dan Aleix Vidal di babak kedua . Kemenangan atas Madrid ini membuat Barcelona mencatat tak pernah mengalami kekalahan sepanjang paruh musim ini . Kekalahan terakhir Barcelona terjadi di bulan Agustus lalu , saat Barcelona sebagai juara Copa del Rey menghadapi Real Madrid , juara La Liga musim 2016 - 17 . Kala itu , Barcelona ditaklukkan 2 - 0 oleh Real Madrid . Setelah laga itu , Barcelona tak pernah lagi mengalami kekalahan . Kesempatan membalas kekalahan oleh Real Madrid datang di pertandingan pekan ke - 17 LaLiga . Barcelona mencoba memperpanjang rekor tak terkalahkan sekaligus memperkuat posisinya di puncak klasemen sedangkan Real Madrid yang berada di peringkat keempat , mencoba mengurangi selisih poin . Madrid lebih mendominasi penguasaan bola di babak pertama bahkan tuan rumah sempat menciptakan gol di menit ketiga . Tendangan sudut yang diambil Toni Kroos disundul oleh Casemiro dan bola diteruskan oleh Ronaldo . Sayang Ronaldo dalam posisi offside , membuat wasit menganulir gol tersebut . Menit - menit berikutnya , Madrid terus menekan pertahanan Barcelona yang diperkuat Gerard Pique dan Thomas Verlmaelen . Setelah tembakan Daniel Carvajal dimentahkan oleh Marc - Andre ter Stegen , Ronaldo gagal memanfaatkan umpan silang dari Kroos . Peluang pertama Barcelona didapat di menit ke - 30 saat umpan lambung Lionel Messi mendarat di kaki Paulinho . Striker asal Brasil ini mencoba keberuntungannya dengan tendangan geledeknya , tapi Keylor Navas masih bisa menepis bola melewati mistar gawang . Sesaat kemudian , dua kali Ronaldo gagal memanfaatkan peluang yang didapatnya . Sepakan pertama dimentahkan oleh Ter Stegen sedangkan yang kedua diblokir oleh Pique dan Rakitic . Karim Benzema juga gagal menciptakan gol saat mendapat umpan matang dari Marcelo di menit ke - 42 . Benzema mengarahkan sundulannya melewati Ter Stegen namun bola justru mengenai mistar gawang . Di awal babak kedua , Barcelona berhasil membongkar pertahanan Madrid . Umpan terobosan dari Jordi Alba didapat Luis Suarez . Sayang sepakannya masih mengarah ke Navas yang dengan mudah menahan bola . Tapi Suarez berhasil membayar kegagalannya di menit ke - 54 dengan mencetak gol pertama pertandingan . Setelah menggiring bola , Rakitic mengarahkannya ke Sergi Roberto di sisi kanan . Bek kanan asal Spanyol ini langsung mengoper bola ke Suarez yang tidak dikawal pertahanan Madrid . Dengan tenang Suarez mengirimkan bola melewati Navas . Gol pertama membuat Barcelona semakin menggila . Umpan terobosan Messi di sisi kanan diterima dengan baik oleh Suarez . Sayang sepakan Suarez hanya mengenai jaring sisi gawang . Gol kedua Barcelona berawal dengan drama kartu merah . Setelah sepakan Suarez dimentahkan oleh Navas , bola liar direbut oleh Messi yang dengan segera mengoperkannya ke Paulinho . Sundulan Paulinho mengarah ke gawang yang telah ditinggalkan oleh kipernya . Tapi Daniel Carvajal dengan sengaja menghentikan laju bola dengan tangan kanannya yang membuat wasit tanpa ragu menghajar dengan kartu merah dan memberikan hadiah penalti untuk Barcelona . Messi yang menjadi eksekutor sukses mengubah skor menjadi 2 - 0 untuk Barcelona . Zinedine Zidane memasukkan Gareth Bale dan Marco Asensio untuk mengejar ketinggalan dua gol . Tapi Barcelona masih tidak ingin memberikan harapan bagi tuan rumah yang kini bermain dengan 10 orang . Setelah sepakan Luka Modric dimentahkan oleh Ter Stegen , tendangan keras Bale pun berhasil dijinakkan oleh kiper yang di LaLiga musim ini baru kebobolan tujuh kali . Justru Barcelona menambah keunggulan berkat gol Aleix Vidal yang masuk menggantikan Sergi Roberto di menit ke - 90 . Dari sisi kanan Messi meliuk-liuk sebelum mengarahkan bola ke Vidal . Navas mencoba memblokir tendangan Vidal tapi bola tak bisa dihentikannya . Kemenangan ini semakin membuat Barcelona semakin jauh di puncak klasemen dengan mengumpulkan poin 45 , selisih sembilan dari Atletico Madrid yang berada di urutan kedua . Sedangkan Real Madrid berada di urutan keempat dengan poin 31 .","Barcelona berhasil memboyong kemenangan besar di laga El Clasico dengan skor 3 - 0 atas Real Madrid , Sabtu ( 23 / 12 / 2017 ) di Santiago Bernabeu . Gol Barcelona dilesakkan Luis Suarez , Lionel Messi dan Aleix Vidal di babak kedua . Kemenangan ini membuat Barcelona semakin jauh di puncak klasemen dengan 45 poin , selisih sembilan dari Atletico Madrid di urutan kedua . Sedangkan Real Madrid berada di urutan keempat ."
"Wamena ( ANTARA News ) - Pemerintah Kabupaten Jayawijaya , Papua , mendatangkan tim arkeolog dari Makassar dan Jayapura untuk melakukan konservasi terhadap empat mumi yang ada di di wilayah itu . Kepala Dinas Kebudayaan dan Pariwisata ( Disbudpar ) Jayawijaya Alpius Wetipo mengatakan konservasi perlu dilakukan karena diantara empat mumi tersebut ada yang bagian tubuhnya rusak dimakan oleh tikus dan anjing . "" Tim ahli arkelog dari Makassar yang kami datangkan tiga orang , dan dari arkeologi Jayapura satu orang , "" kata Alpius di Wamena , Jayawijaya , Kamis .","Pemerintah Kabupaten Jayawijaya , Papua , mendatangkan tim arkeolog dari Makassar dan Jayapura untuk melakukan konservasi terhadap empat mumi yang ada di di wilayah itu . Kepala Dinas Kebudayaan dan Pariwisata ( Disbudpar ) Jayawijaya Alpius Wetipo mengatakan konservasi perlu dilakukan karena diantara empat mumi tersebut ada yang bagian tubuhnya rusak dimakan oleh tikus dan anjing ,   namun tidak diganti atau ditempel dengan benda lain ."
"Ada yang baru dari Google Calendar versi web . Tampilannya kini telah dirombak habis , mengadopsi gaya desain modern yang sebelumnya sudah tersedia pada aplikasi Google Calendar di perangkat mobile . Secara keseluruhan , Calendar versi baru tampak lebih rapi dan lebih mudah dinavigasikan . Layout responsif yang digunakan berarti tampilannya akan disesuaikan secara otomatis dengan ukuran layar maupun jendela browser . Tidak hanya berubah dari segi visual , Calendar versi baru juga mengemas sejumlah fitur yang cukup bermanfaat . Salah satunya adalah kemampuan mengatur formatting dan menambahkan link pada undangan , sehingga pengguna dapat menciptakan agenda yang lebih merinci , dan materi - materi yang diperlukan bisa diakses oleh peserta lain sebelum rapat dimulai . Calendar kini juga memberikan kemudahan untuk melihat dan mengatur beberapa kalender dari akun yang berbeda dalam tampilan harian . Fitur ini tentunya akan sangat memudahkan pekerja yang tugasnya mengaturkan jadwal rapat anggota-anggota timnya . Terakhir , saat sedang membuat jadwal rapat baru , pengguna dapat menambahkan informasi yang lebih merinci soal ruang rapat yang akan digunakan , mulai dari lokasi ruangan , kapasitasnya , kelengkapan peralatan audio dan videonya , sampai informasi mengenai akses untuk peserta yang berkursi roda . Bagi yang menggunakan Calendar pada akun pribadinya , mereka sudah bisa mengaktifkan tampilan baru ini dengan mengklik tombol “ Use new Calendar ” di ujung kanan atas . Administrator G Suite juga dapat mengaktifkan tampilan baru Calendar ini mulai hari ini juga . Sumber : Google . DailySocial.id adalah portal berita startup dan inovasi teknologi . Kamu bisa menjadi member komunitas startup dan inovasi DailySocial.id , mengunduh laporan riset dan statistik seputar teknologi secara cuma-cuma , dan mengikuti berita startup Indonesia dan gadget terbaru .","Tampilan dari   Google Calendar versi web kini telah dirombak habis , mengadopsi gaya desain modern yang sebelumnya sudah tersedia pada aplikasi Google Calendar di perangkat mobile . Tidak hanya berubah dari segi visual , Calendar versi baru juga mengemas sejumlah fitur yang cukup bermanfaat . Salah satunya adalah kemampuan mengatur formatting dan menambahkan link pada undangan , sehingga pengguna dapat menciptakan agenda yang lebih merinci ."
"Jakarta , CNN Indonesia - - Pelatih fisik timnas Portugal , Joao Aroso yakin Cristiano Ronaldo tak akan mengalami masalah berarti untuk terus bermain hingga usia 41 tahun bila tak mengalami cedera serius . Ronaldo yang saat ini telah berusia 31 tahun baru saja menandatangani perpanjangan kontrak hingga 2021 yang membuatnya bakal terus bermain di Madrid hingga usia 36 tahun . Namun Aroso melihat hal tersebut bukanlah batas akhir kemampuan Ronaldo di lapangan hijau . “ Jika dia tak bermasalah dengan cedera , maka ia akan bisa terus bermain dengan baik hingga usia 41 tahun . ” “ Saya tak akan mengatakan bahwa Ronaldo adalah pemain yang berbeda , namun Ronaldo memang memiliki sejumlah keunggulan dibandingkan pemain lainnya , ” tutur Aroso seperti dikutip dari Marca . Aroso menilai , meskipun Ronaldo terus berada di lapangan hijau hingga beberapa tahun ke depan , hal tersebut tak akan membuat sang pemain mengubah gaya bermain di lapangan . “ Ronaldo tak akan berubah jadi pemain dengan gaya permainan yang lambat , meskipun ia terus melambat seiring athun berganti dan ia juga semakin memilih untuk lebih dekat ke area pertahanan lawan . ” “ Meskipun tahun berganti , Ronaldo akan tetap jadi sosok yang menakutkan bagi lawan . Itu karena penyelesaian akhirnya dan pengalamannya yang terus bertambah , ” ujar Aroso . Ronaldo sendiri sebelumnya sudah menegaskan tekadnya dengan mengatakan kontrak hingga 2021 bukanlah kontrak terakhirnya bersama Madrid . “ Saya rasa kontrak yang ada saat ini bukanlah kontrak terakhir saya bersama Madrid , itu jelas , karena dalam lima tahun ke depan saya akan terus melakukan hal yang sama seperti sebelumnya , ” ujar Ronaldo . ( ptr )","Bila tak mengalami cedera serius , pelatih fisik timnas Portugal Joao Aroso yakin Cristiano Ronaldo dapat terus bermain hingga 41 tahun mendatang . Ronaldo dinilai akan terus mengubah gaya bermain di lapangan untuk beberapa tahun kedepan . Ronaldo memang memiliki sejumlah keunggulan dibandingkan pemain lainnya . Aroso menambahkan bahwa Ronaldo merupakan salah satu sosok yang menakutkan bagi lawan - lawannya ."
"Jakarta , CNN Indonesia - - PT Pertamina ( Persero ) menyatakan telah melakukan pembicaraan dengan tiga perusahaan untuk memperkuat geliatnya di sektor hulu migas internasional . Ketiga perusahaan yang dimaksud adalah ConocoPhilips , Petronas , dan Marubeni . Direktur Utama Pertamina Elia Massa Manik mengatakan , pembicaraan tersebut masih dalam sebatas tukar pikiran ( brainstorming ) dan belum mengarah ke kerja sama resmi . Obrolan itu , lanjutnya , dilakukan dalam helatan Indonesian Petroleum Association ( IPA ) pertengahan bulan Mei silam . Di dalam pembicaraan tersebut , Pertamina berharap bisa memperoleh hak partisipasi ( Participating Interest / PI ) di proyek-proyek migas kelolaan tiga perusahaan yang dimaksud . Dengan demikian , Pertamina bisa meningkatkan portofolio produksinya . "" Waktu itu saya bertanya kepada tiga perusahaan ini , kalau memang mereka mau mengembangkan blok migas di belahan dunia mana pun , apakah Pertamina masih boleh ikut untuk memiliki hak partisipasi ? Katakanlah , jika produksi mereka 100 ribu barel per hari , kami bisa dapatkan 10 ribu barel jika hak partisipasinya dapat 10 persen , "" kata Elia kepada CNNIndonesia.com di Gedung DPR , Kamis ( 8 / 7 ) . Dalam hal ini , Pertamina mencontoh beberapa perusahaan trading asal Jepang yang berhasil jadi perusahaan besar hanya dengan mencaplok hak partisipasi di beberapa blok migas . Di samping itu , menurutnya , Pertamina tak perlu memaksa mengincar hak partisipasi mayoritas di segala proyek hulu migas . Meski memiliki hak partisipasi minoritas , Pertamina masih bisa meningkatkan portfolio produksi asal keikutsertaan ini tersebar dimana - mana . "" Selama ini kan seolah-olah kami harus akuisisi , dalam artian menjadi operator blok migas dulu kalau mau dapat minyak . Padahal , perusahaan asal Jepang tidak seperti itu . Yang penting , kami bisa punya bagian produksi yang dibawa ke dalam negeri , "" lanjutnya . Ia melanjutkan , aksi korporasi ini juga bisa mempercepat pengadaan minyak mentah demi kepentingan kilang Pertamina . Selama ini , Pertamina harus melalui proses lelang yang lama untuk mendapatkan minyak . Namun , jika memiliki hak partisipasi di blok migas internasional , Pertamina bisa langsung memperoleh produksi tanpa melalui proses yang berbelit-belit . Apalagi , kebutuhan minyak mentah diprediksi terus meningkat karena kapasitas kilang Pertamina rencananya akan meningkat dari 1,04 juta barel ke angka 2,3 juta barel . Sementara itu , produksi minyak perseroan hingga kuartal I lalu hanya sebesar 337 ribu barel per hari , atau tidak mencukupi untuk memasok kilang perusahaan . "" Capek juga impor 1 juta crude dengan proses tender - tender seperti itu terus . Kami harus mengamankan pasokan demi produksi kilang yang dimiliki , "" imbuhnya . Meski demikian , ia mengaku strategi pencaplokan hak partisipasi ini membutuhkan dana yang tak sedikit . Untuk itu , usulan ini rencananya masih akan didiskusikan dengan pemegang saham . "" Kalau disetujui sih , kami inginnya akan bicara ke seluruh perusahaan agar mau bermitra dengan Pertamina . Memang nature -nya bisnis hulu migas kan sharing , "" pungkas mantan bos PT Perkebunan Nasional III ini .","  PT Pertamina ( Persero ) menyatakan telah melakukan pembicaraan dengan tiga perusahaan untuk memperkuat geliatnya di sektor hulu migas internasional . Ketiga perusahaan yang dimaksud adalah ConocoPhilips , Petronas , dan Marubeni . Dirut Pertamina Elia Massa Manik mengatakan , pembicaraan tersebut masih dalam sebatas tukar pikiran dan belum mengarah ke kerja sama resmi . Obrolan itu , lanjutnya , dilakukan dalam helatan Indonesian Petroleum Association ( IPA ) pertengahan bulan Mei silam ."
"Jakarta ( ANTARA News ) - Jika Anda dan keluarga masih memikirkan lokasi wisata untuk menghabiskan masa liburan mendatang , coba masukkan Dubai yang sekarang dilengkapi taman hiburan , pantai , restoran , dan destinasi lainnya agar setiap orang tidak bosan . Dubai telah menyambut lebih dari 14,24 juta wisatawan global selama 2017 , termasuk selebriti Indonesia yang kerap terlihat berlibur bersama keluarga di sana . Berikut tiga pilihan tempat wisataa yang asyik di Dubai seperti ditulis Dubai Tourism . Waterpark ini memiliki lebih dari empat seluncur air – masing-masing mengitari Tower Piramida Poseidon yang baru – dan zip line terpanjang Timur Tengah . Namun , Anda masih bisa menyelam ke wahana favorit lainnya seperti Leap of Faith sepanjang 27,5 meter yang membawa Anda melalui tabung yang dikelilingi ikan hiu dan pari . Meskipun anak-anak harus memiliki tinggi minimum 1,2 meter untuk dapat menikmati sebagian wahana , anak-anak yang lebih kecil akan tetap bisa mencoba Splashers Children 's Play Area – wahana labirin , tabung , seluncur air , dan panjat tebing ramah anak . Jika Anda tidak mencari wahana yang memacu adrenalin , Anda bisa mencoba berjalan kaki di sepanjang Lazy River yang membentang lebih dari satu mil melewati waterpark ini . Lalu , jika Anda mencari wahana tanah berpasir , cobalah Atlantis Beach . Dune Bashing dengan Desert Safari Dubai Desert Safari Dubai menawarkan wisata gurun yang luas . Duduklah di puncak bukit pasir untuk menikmati matahari terbenam yang menakjubkan . Luangkan beberapa saat untuk menenangkan pikiran Anda , sebelum kembali ke mobil untuk berkendara di bukit pasir dengan kecepatan tinggi . Wisata akan berakhir di sebuah desa Badawidengan menaiki unta , mencoba pakaian tradisional , dan bermacam hiburan seperti tari perut , pertunjukan elang , dan tarian api . Perjalanan ke Dubai Desert memakan waktu sekitar 45 - 60 menit dari Dubai Downtown . Pastikan membawa syal atau jaket , karena suhu di padang pasir selama musim dingin bisa sangat dingin . Sementara perjalanan selama Desert Safari Dubai memakan waktu sekitar 4 - 6 jam , dimana mobil 4WD akan menjemput Anda dan keluarga langsung dari lobi hotel . Meskipun ada banyak pilihan tempat belanja , Mall of The Emirates dan The Beach adalah dua tempat belanja paling favorit di Dubai . Mall ini menawarkan lebih dari 560 toko internasional yang menjual beragam produk gaya hidup , fesyen , olahraga , elektronik , dan perabotan rumah . Mal ini juga rumah bagi serangkaian wisata keluarga yang menyenangkan , seperti SKI Dubai ( resor ski dan taman salju pertama di Timur Tengah ) dan lebih dari 90 pilihan restoran dan kafe . Terletak di persimpangan empat di Sheikh Zayed Road , mal ini berdekatan dengan dua hotel bintang lima , Kempinski Mall of the Emirates dan Sheraton Dubai Mall of the Emirates Hotel . Untuk pengalaman berbelanja outdoor , cobalah mengunjungi tempat wisata favorit sepanjang masa , The Beach . Temukan perpaduan kegiatan indoor dan outdoor yang menarik di sana . The Beach di JBR adalah kompleks pertokoan , kafe , restoran , dan fasilitas umum yang terletak tepat di tepi pantai . Kafe dan restoran memiliki teras al fresco yang menghadap ke pasir putih dan laut biru . Selain itu juga terdapat layar bioskop outdoor yang menghadap ke pantai . Anak - anak dapat bermain di taman dan area bermain , sementara orang dewasa dapat berolahraga di jalur lari dan menggunakan peralatan olahraga outdoor , ditambah juga semua orang dapat menikmati pantai umum JBR dengan ruang ganti dan fasilitas lainnya .","Jika Anda dan keluarga masih memikirkan lokasi wisata untuk menghabiskan masa liburan mendatang , coba masukkan Dubai yang sekarang dilengkapi taman hiburan , pantai , restoran , dan destinasi lainnya agar setiap orang tidak bosan . Berikut tiga pilihan tempat wisataa yang asyik di Dubai , yakni : Aquaventure Waterpark , Dune Bashing dengan Desert Safari Dubai dan Retail Therapy di Mall of The Emirates dan The Beach ."
"Jakarta , CNN Indonesia - - Bali lagi-lagi kedatangan tamu spesial . Setelah kunjungan Song Joong Ki dan Song Hye Kyo yang menghebohkan , kali ini giliran Lindsay Lohan yang menginjakkan kakinya di sana . Bintang Mean Girls itu baru saja tiba di Pulau Dewata hari ini , Rabu ( 12 / 7 ) dan langsung membanggakan informasi terbaru itu lewat akun Instagram -nya . Dia mengunggah sebuah video singkat yang menampilkan hamparan sawah hijau di kawasan Canggu , Bali . Canggu berada di antara Seminyak dan Tanah Lot . Video itu diambil dalam perjalanan dari mobil yang tengah ditumpangi Lohan di Bali . "" #seminyack Saya mencintaimu saudara ku @mikelohan selamat ! ( Selamat datang di Bali ) , "" tulis Lindsay pada keterangan video yang diunggahnya itu . Tampaknya Lohan tak tahu bagaimana mengeja Seminyak , yang seharusnya tanpa huruf c. Saudara Lohan , Mike Lohan baru saja menikahi kekasihnya pekan lalu di Rhode Island . Unggahan itu mengindikasikan Mike dan istrinya ikut datang bersama sang aktris ke Bali . Namun tak diketahui secara pasti tujuan Lohan ke sana . Kedatangan Lohan di Bali langsung disambut riuh netizen yang membanjiri unggahan itu dengan beragam komentar . Kebanyakan netizen membalas kembali dengan ucapan ‘ selamat datang.’ Tapi beberapa netizen merespons kedatangan Lindsay dengan ucapan yang unik . "" Assalamuaikum @lindsaylohan , Allah bless you dan welcome to Bali , "" kata akun rizkiarraya . Lohan belakangan memang diketahui dekat dengan Islam . “ Anda mengunjungi negara saya , tapi saya di Palembang tidak di Bali , "" kata akun rafly_rahman.h dengan berbahasa Inggris . "" It 's Seminyak .. not Seminyack , "" kata akun gcybthias , mengomentari kesalahan Lohan .","Bintang   Mean Girls   itu baru saja tiba di Pulau Dewata hari ini , Rabu ( 12 / 7 ) dan langsung membanggakan informasi terbaru itu lewat akun Instagram -nya . Dia mengunggah sebuah video singkat yang menampilkan hamparan sawah hijau di kawasan Canggu , Bali . Canggu berada di antara Seminyak dan Tanah Lot . Video itu diambil dalam perjalanan dari mobil yang tengah ditumpangi Lohan di Bali ."
